"","Portfolio Manager Property ID","Property GFA - Self-Reported (m²)","Electricity Use - Grid Purchase (kWh)","Primary Property Type - Self Selected","ID","Area","kWh","Property_Type","log_Area"
"309",28033978,498,"3295184.1","Drinking Water Treatment & Distribution",28033978,498,3295184.1,"Drinking Water Treatment & Distribution",6.21060007702465
"310",28033987,511,"61643.7","Pre-school/Daycare",28033987,511,61643.7,"Pre-school/Daycare",6.2363695902037
"311",28033996,1022,"Not Available","Other - Public Services",28033996,1022,NA,"Other - Public Services",6.92951677076365
"312",28034004,1356,"213950.1","Other - Entertainment/Public Assembly",28034004,1356,213950.1,"Other - Entertainment/Public Assembly",7.21229446850034
"313",28034008,2309,"321406.59999999998","Ice/Curling Rink",28034008,2309,321406.6,"Ice/Curling Rink",7.7445698093545
"314",28034010,2415,"349937.7","Social/Meeting Hall",28034010,2415,349937.7,"Social/Meeting Hall",7.78945456608667
"315",28034011,157,"42978.2","Other - Recreation",28034011,157,42978.2,"Other - Recreation",5.05624580534831
"316",28034015,2445,"390272.1","Social/Meeting Hall",28034015,2445,390272.1,"Social/Meeting Hall",7.80180040190897
"317",28034024,2058,"166495.5","Social/Meeting Hall",28034024,2058,166495.5,"Social/Meeting Hall",7.629489916394
"318",28034025,1452,"5913515.7999999998","Drinking Water Treatment & Distribution",28034025,1452,5913515.8,"Drinking Water Treatment & Distribution",7.28069719538474
"319",28034028,2377,"Not Available","Ice/Curling Rink",28034028,2377,NA,"Ice/Curling Rink",7.77359446736019
"320",28034030,1114.8,"191203.20000000001","Library",28034030,1114.8,191203.2,"Library",7.01643029560779
"321",28034032,537,"216809.1","Other - Recreation",28034032,537,216809.1,"Other - Recreation",6.28599809450886
"322",28034038,570,"Not Available","Other - Public Services",28034038,570,NA,"Other - Public Services",6.3456363608286
"323",28034039,92.9,"8103.2","Police Station",28034039,92.9,8103.2,"Police Station",4.53152364581979
"324",28034049,1082,"182909.8","Library",28034049,1082,182909.8,"Library",6.98656645940643
"325",28034051,2381,"241542","Ice/Curling Rink",28034051,2381,241542,"Ice/Curling Rink",7.77527584648686
"326",28034052,596.3,"60411.3","Library",28034052,596.3,60411.3,"Library",6.39074389612906
"327",28034054,285,"196408.6","Wastewater Treatment Plant",28034054,285,196408.6,"Wastewater Treatment Plant",5.65248918026865
"328",28034063,239,"30311.7","Other - Entertainment/Public Assembly",28034063,239,30311.7,"Other - Entertainment/Public Assembly",5.47646355193151
"329",28034066,804.9,"Not Available","Library",28034066,804.9,NA,"Library",6.69071804609969
"330",28034069,699,"Not Available","Other - Public Services",28034069,699,NA,"Other - Public Services",6.54965074223381
"331",28034070,1102,"155567","Other - Public Services",28034070,1102,155567,"Other - Public Services",7.00488198971286
"332",28034072,604,"121934.7","Pre-school/Daycare",28034072,604,121934.7,"Pre-school/Daycare",6.40357419793482
"333",28034076,264,"Not Available","Social/Meeting Hall",28034076,264,NA,"Social/Meeting Hall",5.57594910314632
"334",28034079,2366.7,"275205.3","Library",28034079,2366.7,275205.3,"Library",7.76925185876915
"335",28034083,169.9,"Not Available","Social/Meeting Hall",28034083,169.9,NA,"Social/Meeting Hall",5.13521002867789
"336",28034090,65,"Not Available","Other - Public Services",28034090,65,NA,"Other - Public Services",4.17438726989564
"337",28034091,410.7,"Not Available","Library",28034091,410.7,NA,"Library",6.01786302096251
"338",28034102,724,"Not Available","Library",28034102,724,NA,"Library",6.58479139238572
"339",28034108,1249,"Not Available","Heated Swimming Pool",28034108,1249,NA,"Heated Swimming Pool",7.13009851012558
"340",28034128,1638,"427312.3","Social/Meeting Hall",28034128,1638,427312.3,"Social/Meeting Hall",7.40123126441302
"341",28034133,1622.9,"97348.4","Library",28034133,1622.9,97348.4,"Library",7.39196995132184
"342",28034135,412,"751136.9","Wastewater Treatment Plant",28034135,412,751136.9,"Wastewater Treatment Plant",6.02102334934953
"343",28034142,710,"203661.8","Other - Entertainment/Public Assembly",28034142,710,203661.8,"Other - Entertainment/Public Assembly",6.56526497003536
"344",28034144,650.3,"123840.6","Library",28034144,650.3,123840.6,"Library",6.47743379487511
"345",28034146,1373,"335922.8","Other - Public Services",28034146,1373,335922.8,"Other - Public Services",7.22475340576797
"346",28034148,279,"Not Available","Social/Meeting Hall",28034148,279,NA,"Social/Meeting Hall",5.63121178182137
"347",28034149,682.8,"57960.3","Pre-school/Daycare",28034149,682.8,57960.3,"Pre-school/Daycare",6.52620199092029
"348",28034150,1054.5,"147175.4","Library",28034150,1054.5,147175.4,"Library",6.96082199991883
"349",28034151,541.5,"Not Available","Library",28034151,541.5,NA,"Library",6.29434306644105
